Artist,Tracks,Plays
Camel,West Berlin,26
Muse,Undisclosed Desires,26
Radiohead,Exit Music (for a Film),26
Robert Prince,Hiding The Secrets,26
Soundgarden,Spoonman,26
Bill Kiley,Snow,25
"Bill Kiley, Justin Stander",Nocturne,25
Kazumi Totaka,Shop Channel,25
Led Zeppelin,Good Times Bad Times,25
Led Zeppelin,The Ocean,25
Metallica,Turn the Page,25
Muse,Starlight,25
Pink Floyd,See Emily Play,25
Pink Floyd,"Shine on You Crazy Diamond, Pts. 6-9",25
Smash Mouth,Walkin' On The Sun,25
Stephen Rippy,Neep Ninny-Bod (Mix 2),25
Stephen Rippy,Voodoodoodoo,25
The Clash,Rock the Casbah,25
The Police,Canary In A Coalmine,25
Alexander Brandon,Conspiracy Theory (Versalife and Majestic 12),24
Bill Kiley,A Fine Red Mist,24
Camel,Another Night,24
Christopher Larkin,Dirtmouth,24
Christopher Larkin,False Knight,24
Collective Soul,Shine,24
Home,Oort Cloud,24
Keiki Kobayashi,Siren's Song,24
Stephen Rippy,Bass Bag (Album Version),24
The Cars,Just What I Needed,24
The Police,Bombs Away,24
The Police,Roxanne,24
Vitalis Eirich,Movement Atnadev,24
&quot;Weird Al&quot; Yankovic,Amish Paradise,23
Alexander Brandon,Ambrosia Hunt (Battery Park),23
Alexander Brandon,DuClare Chateau,23
Camel,Refugee,23
Christopher Larkin,Reflection,23
Hans Zimmer,Rise,23
Metallica,One,23
Mick Gordon,BFG 10k,23
R.E.M.,Losing My Religion,23
Rush,A Passage to Bangkok,23
Stephen Rippy,"Smells Like Crickets, Tastes Like Chicken",23
Sting,Shape Of My Heart,23
The Who,Baba O'Riley,23
Vitalis Eirich,Southeast Side,23
Yes,Roundabout,23
&quot;Weird Al&quot; Yankovic,Bedrock Anthem,22
Amon Tobin,The Lighthouse,22
Asia,Only Time Will Tell,22
Christopher Larkin,Mantis Lords,22
Collective Soul,December,22
Dire Straits,Six Blade Knife,22
Foreigner,Cold as Ice,22
Lenny Kravitz,Fly Away,22
Muse,Resistance,22
New Order,Elegia,22
Ryo Watanabe,Magic Spear I,22
Stephen Rippy,Operation: Monkey,22
Stephen Rippy,T Station,22
Sting,Englishman in New York,22
Supertramp,Dreamer,22
AC/DC,T.N.T.,21
Christopher Larkin,City of Tears,21
CoLD SToRAGE,Messij,21
Dire Straits,Calling Elvis,21
Gorillaz,19-2000,21
King Crimson,Red,21
Led Zeppelin,Kashmir,21
Ludowic,V Limo (New Donk Shitty),21
Muse,Citizen Erased,21
Pink Floyd,The Happiest Days of Our Lives,21
Stephen Rippy,Basura! Basura!,21
Stephen Rippy,Drizzle (Firelight Smoove Mix),21
The Smashing Pumpkins,Zero,21
U2,Pride (in the Name of Love),21
U2,Sunday Bloody Sunday,21
Alexander Brandon,NYC Streets 1,20
Amon Tobin,Displaced,20
Christopher Larkin,Hollow Knight,20
Jesper Kyd,Before the Storm,20
Jesper Kyd,Vegas,20
Joy Division,Disorder,20
