Artist,Tracks,Plays,Time
Rush,Subdivisions,49,276.033
The Police,Invisible Sun,73,272.533
Scorpions,Wind of Change,52,271.267
Mick Gordon,Hellwalker,53,269.417
Pink Floyd,Comfortably Numb,42,267.4
Dire Straits,Why Worry,31,263.5
New Order,Blue Monday,35,262.5
Pink Floyd,Any Colour You Like,76,262.2
Tom Petty and The Heartbreakers,Mary Jane's Last Dance,57,259.35
Nick Arundel,Arkham City Main Theme,93,258.85
Gorillaz,On Melancholy Hill,66,256.3
Toto,Africa,52,255.667
Steve Miller Band,Fly Like an Eagle,54,255.6
Gorillaz,Empire Ants,54,254.7
Linkin Park,Papercut,83,254.533
Hans Zimmer,Imagine the Fire,34,252.167
Pink Floyd,Brain Damage,65,251.333
Genesis,That's All,57,250.8
Linkin Park,Points of Authority,75,250.0
Led Zeppelin,The Battle of Evermore,42,245.7
Howard Shore,The Bridge of Khazad-Dûm,41,243.95
The White Stripes,Seven Nation Army,60,232.0
The Smashing Pumpkins,1979,52,230.533
The Police,Spirits in the Material World,77,229.717
Weird Al  Yankovic,It’s All About the Pentiums,64,228.267
Camel,Supertwister,67,226.683
Pearl Jam,Black,40,225.333
The Police,King of Pain,45,224.25
Red Hot Chili Peppers,Can't Stop,50,223.333
Rush,Red Barchetta,36,222.6
Muse,Hysteria,58,219.433
Rage Against the Machine,Take the Power Back,39,219.05
Nick Arundel,"How Does It Feel, Pig ",94,217.767
Rush,Limelight,50,215.833
Dire Straits,Industrial Disease,37,215.833
Muse,Knights of Cydonia,35,213.5
Mick Gordon,The Super Gore Nest,41,212.517
Pink Floyd,"Another Brick in the Wall, Pt. 2",53,210.233
Mick Gordon,Demonic Corruption,53,209.35
Gorillaz,Tomorrow Comes Today,65,209.083
Rush,Tom Sawyer,45,207.0
Alexander Brandon,Majestic 12 Laboratories,40,203.333
Ludwig Goransson,Posterity,16,203.2
Rush,The Spirit of Radio,40,199.333
Junkie XL,Bombers Over Ibiza  (Junkie XL Remix),34,198.333
Yes,Roundabout,23,198.183
Rage Against the Machine,Know Your Enemy,40,196.667
Mick Gordon,Uac Report File; Shto36u3,64,196.267
Pink Floyd,Interstellar Overdrive,20,193.333
The Police,Wrapped Around Your Finger,37,193.017
Howard Shore,A Knife in the Dark,54,192.6
David Buckley,Arkham Knight - Main Theme,81,191.7
Rage Against the Machine,Bullet in the Head,37,190.55
Phil Collins,In the Air Tonight,34,190.4
Muse,Assassin,54,189.9
Dire Straits,Walk of Life,45,189.0
Martin O'Donnell & Michael Salvatori,Moon Over Mombasa Part 2,159,188.15
Dire Straits,Ride Across the River,27,188.1
The Police,Can't Stand Losing You,63,187.95
Rush,2112,9,185.55
Sting,Fields of Gold,51,185.3
Alexander Brandon,Main Theme,76,184.933
Alexander Brandon,Battery Park,43,184.183
Foo Fighters,The Pretender,41,183.817
The Police,So Lonely,38,183.033
Martin O'Donnell & Michael Salvatori,Jeopardy,65,182.0
The Police,Every Little Thing She Does Is Magic,42,182.0
Red Hot Chili Peppers,The Zephyr Song,47,181.733
Led Zeppelin,Kashmir,21,180.95
Cream,White Room,36,180.0
King Crimson,Discipline,36,180.0
Ozzy Osbourne,Not Going Away,39,176.8
Pink Floyd,Hey You,38,176.067
Metallica,For Whom the Bell Tolls,34,175.1
Rush,Fly by Night,52,175.067
Linkin Park,Numb,56,174.533
Radiohead,Airbag,37,174.517
AC DC,Back in Black,41,174.25
Red Hot Chili Peppers,Scar Tissue,48,173.6
Red Hot Chili Peppers,Californication,32,171.2
Thin Lizzy,The Boys Are Back in Town,38,171.0
Metallica,One,23,170.967
Home,Billiards,58,170.133
Rage Against the Machine,Bulls on Parade,44,167.933
Rage Against the Machine,Killing in the Name,32,167.467
Gorillaz,O Green World,37,167.117
Camel,Another Night,24,166.8
Hans Zimmer,Rise,23,166.75
The Police,Don't Stand So Close to Me,41,166.733
George Michael,Careless Whisper,33,166.1
Rage Against the Machine,Down Rodeo,31,165.333
Hans Zimmer,The Electro Suite,13,163.8
Stephen Rippy,Shamburger,48,162.4
Alexander Brandon,Night Assignment (New York Streets),38,162.133
The Who,Won't Get Fooled Again,19,161.817
Gorillaz,Every Planet We Reach Is Dead,33,161.15
Hans Zimmer,The Fire Rises,29,160.95
Supertramp,Take the Long Way Home,31,160.167
Steely Dan,Do It Again,27,159.75
Ludowic,Overdose,36,159.6
Rush,Closer to the Heart,54,157.5
