Artist,Tracks,Plays,Time
Mick Gordon,BFG Division 2020,18,85.8
Linkin Park,Somewhere I Belong,24,85.6
Ludowic,Panoramic Feelings,27,85.5
Kevin McMullan,Shookies in the Bank,27,85.05
The Doors,Light My Fire,12,85.0
Alexander Brandon,The Illuminati Reborn (Credits),28,84.467
Jethro Tull,"Thick as a Brick, Part II",4,84.2
Keiki Kobayashi,Siren's Song,24,84.0
Alexander Brandon,Versalife,21,84.0
The Police,Can't Stand Losing You,28,83.533
Hans Zimmer,Why So Serious?,9,83.4
Alexander Brandon,Main Theme,34,82.733
Rage Against the Machine,Guerrilla Radio,24,82.4
The Police,Every Little Thing She Does Is Magic,19,82.333
Home,Sunshower,28,82.133
Rush,A Passage to Bangkok,23,82.033
Home,Oort Cloud,24,82.0
Styx,Mr. Roboto,15,82.0
Mick Gordon,At Doom's Gate,70,81.667
Stephen Rippy,Neep Ninny-Bod (Mix 2),25,81.667
Lenny Kravitz,Fly Away,22,81.033
Stephen Rippy,Machina del Diablo,27,81.0
&quot;Weird Al&quot; Yankovic,Bedrock Anthem,22,80.667
Howard Shore,The Breaking of the Fellowship,11,80.667
Linkin Park,Papercut,26,79.733
Gorillaz,White Light,37,78.933
Led Zeppelin,Black Dog,16,78.667
Michael McCann,Penthouse,49,78.4
Supertramp,Dreamer,22,78.1
Stephen Rippy,"Ride, Lawrence, Ride!",27,77.85
&quot;Weird Al&quot; Yankovic,Amish Paradise,23,77.433
Home,Flashlight,28,77.0
Camel,Fingertips,17,76.783
Jesper Kyd,Apocalypse,17,76.783
Hans Zimmer,S.T.A.Y.,12,76.6
Red Hot Chili Peppers,Otherside,18,76.5
The Police,Bombs Away,24,75.6
Hans Zimmer,The Electro Suite,6,75.6
Stephen Rippy,Bass Bag (Album Version),24,75.2
Gorillaz,November Has Come,28,75.133
The Who,Baba O'Riley,15,75.0
Stephen Rippy,Voodoodoodoo,25,74.583
The Police,Synchronicity I,22,74.433
Martin O'Donnell &amp; Michael Salvatori,Not a Number,47,74.417
Vitalis Eirich,Movement Atnadev,24,74.4
Supertramp,Give a Little Bit,18,74.4
Led Zeppelin,Misty Mountain Hop,16,74.133
The Prodigy,Invaders Must Die,15,73.75
Christopher Larkin,False Knight,24,73.6
Gorillaz,19-2000,21,73.5
The Police,Wrapped Around Your Finger,14,73.033
Stephen Rippy,Operation: Monkey,22,72.6
The Jimi Hendrix Experience,All Along the Watchtower,18,72.3
Led Zeppelin,The Ocean,16,72.267
Kevin McMullan,Seamus &amp; Chamois,20,72.0
Martin O'Donnell &amp; Michael Salvatori,Rock in a Hard Place,54,71.1
Camel,Cloak and Dagger Man,18,71.1
Alexander Brandon,Naval Base,29,70.567
Loverboy,Working for the Weekend,19,69.983
Stephen Rippy,"Smells Like Crickets, Tastes Like Chicken",23,69.767
Stephen Rippy,T Station,22,69.667
Beastie Boys,Paul Revere,19,69.667
Michael McCann,Distorted Reality,14,69.3
Yes,Roundabout,8,68.933
Hans Zimmer,Stay,10,68.667
Vitalis Eirich,Southeast Side,23,68.617
Alexander Brandon,Hong Kong Helipad,26,68.467
Pearl Jam,Jeremy,13,68.467
Mick Gordon,BFG 10k,23,67.083
Hans Zimmer,Imagine the Fire,9,66.75
Jesper Kyd,Amb Zone,17,66.583
Home,Flatline,33,66.55
The Cars,Drive,17,66.3
The Police,Voices Inside My Head,17,66.017
&quot;Weird Al&quot; Yankovic,The Saga Begins,12,65.6
Boston,Peace of Mind,13,65.217
Led Zeppelin,Moby Dick,15,65.0
Led Zeppelin,When the Levee Breaks,9,64.2
Led Zeppelin,Ramble On,14,63.933
Martin O'Donnell &amp; Michael Salvatori,Three Gates,14,63.933
